player_positions,long_name,overall,age,height_cm,club_name,league_name,skill_dribbling,pace,shooting,passing,dribbling,defending,physic,preferred_foot,goalkeeping_diving
RW,Mohamed Salah Ghaly,89,31,175,Liverpool,Premier League,88,89.0,87.0,81.0,88.0,45.0,76.0,Left,14
"CM, RW",Federico Santiago Valverde Dipetta,88,24,182,Real Madrid,La Liga,83,88.0,82.0,84.0,84.0,80.0,82.0,Right,6
ST,Victor James Osimhen,88,24,185,Napoli,Serie A,83,90.0,86.0,66.0,83.0,42.0,82.0,Right,14
GK,Ederson Santana de Moraes,88,29,188,Manchester City,Premier League,23,,,,,,,Left,86
"CDM, RB, CM",Joshua Walter Kimmich,88,28,177,FC Bayern München,Bundesliga,82,70.0,74.0,88.0,84.0,82.0,79.0,Right,8
"ST, CF",Antoine Griezmann,88,32,176,Atlético Madrid,La Liga,88,80.0,88.0,87.0,88.0,58.0,75.0,Left,14
GK,Jan Oblak,88,30,188,Atlético Madrid,La Liga,12,,,,,,,Right,85
"CAM, CM",Bruno Miguel Borges Fernandes,88,28,179,Manchester United,Premier League,81,71.0,86.0,90.0,83.0,69.0,77.0,Right,12
"CM, RW",Bernardo Mota Veiga de Carvalho e Silva,88,28,173,Manchester City,Premier League,92,69.0,78.0,86.0,92.0,70.0,69.0,Left,9
"CAM, CM",Martin Ødegaard,87,24,178,Arsenal,Premier League,86,72.0,81.0,88.0,87.0,61.0,64.0,Left,14
"CM, CDM",Frenkie de Jong,87,26,181,FC Barcelona,La Liga,87,82.0,69.0,86.0,87.0,77.0,78.0,Right,7
GK,Gianluigi Donnarumma,87,24,196,Paris Saint Germain,Ligue 1,28,,,,,,,Right,90
ST,Lautaro Javier Martínez,87,25,174,Inter,Serie A,84,80.0,86.0,71.0,85.0,48.0,85.0,Right,11
GK,Gregor Kobel,87,25,195,Borussia Dortmund,Bundesliga,24,,,,,,,Right,86
GK,Mike Maignan,87,27,191,Milan,Serie A,31,,,,,,,Right,85
CB,Marcos Aoás Corrêa,87,29,183,Paris Saint Germain,Ligue 1,69,78.0,56.0,75.0,74.0,89.0,80.0,Right,6
GK,Manuel Peter Neuer,87,37,193,FC Bayern München,Bundesliga,30,,,,,,,Right,84
CM,Luka Modrić,87,37,172,Real Madrid,La Liga,84,72.0,76.0,89.0,87.0,72.0,66.0,Right,13
LW,손흥민 孙兴慜,87,30,183,Tottenham Hotspur,Premier League,87,87.0,88.0,80.0,84.0,42.0,70.0,Right,11
"CAM, CM, LM",Jamal Musiala,86,20,184,FC Bayern München,Bundesliga,94,85.0,75.0,76.0,91.0,63.0,61.0,Right,6
"LW, RW",Khvicha Kvaratskhelia,86,22,183,Napoli,Serie A,89,84.0,80.0,81.0,87.0,41.0,71.0,Right,9
CM,Pedro González López,86,20,174,FC Barcelona,La Liga,87,78.0,69.0,82.0,88.0,70.0,74.0,Right,12
"LW, CF, ST",Rafael Alexandre Conceição Leão,86,24,188,Milan,Serie A,89,93.0,80.0,75.0,87.0,27.0,76.0,Right,10
"CM, CAM",Jude Victor William Bellingham,86,20,186,Real Madrid,La Liga,87,76.0,78.0,80.0,85.0,78.0,82.0,Right,14
"CB, RB",Ronald Federico Araújo da Silva,86,24,188,FC Barcelona,La Liga,55,79.0,51.0,65.0,62.0,86.0,84.0,Right,11
"RW, RM",Bukayo Saka,86,21,178,Arsenal,Premier League,89,85.0,81.0,79.0,87.0,60.0,70.0,Left,7
CB,Matthijs de Ligt,86,23,189,FC Bayern München,Bundesliga,65,66.0,61.0,64.0,68.0,85.0,86.0,Right,12
CB,Éder Gabriel Militão,86,25,186,Real Madrid,La Liga,70,85.0,50.0,69.0,71.0,86.0,82.0,Right,11
"CDM, CM",Sandro Tonali,86,23,181,Newcastle United,Premier League,78,84.0,74.0,81.0,81.0,82.0,84.0,Right,13
CM,Nicolò Barella,86,26,175,Inter,Serie A,81,78.0,78.0,82.0,85.0,78.0,80.0,Right,11
RB,Trent Alexander-Arnold,86,24,180,Liverpool,Premier League,78,76.0,69.0,90.0,79.0,80.0,73.0,Right,14
"CF, CAM, ST",Christopher Nkunku,86,25,175,Chelsea,Premier League,89,82.0,81.0,83.0,88.0,62.0,67.0,Right,5
"RW, LW",Ousmane Dembélé,86,26,178,Paris Saint Germain,Ligue 1,89,93.0,77.0,81.0,87.0,36.0,57.0,Left,6
ST,Cristiano Ronaldo dos Santos Aveiro,86,38,187,Al Nassr,Pro League,77,77.0,88.0,75.0,80.0,34.0,74.0,Right,7
"CM, CDM",Toni Kroos,86,33,183,Real Madrid,La Liga,80,51.0,80.0,90.0,81.0,70.0,71.0,Right,10
GK,Wojciech Tomasz Szczęsny,86,33,195,Juventus,Serie A,11,,,,,,,Right,86
"CM, CDM",İlkay Gündoğan,86,32,180,FC Barcelona,La Liga,86,62.0,81.0,84.0,86.0,72.0,73.0,Right,11
"CM, CDM",Daniel Parejo Muñoz,86,34,182,Villarreal,La Liga,81,49.0,83.0,90.0,80.0,73.0,69.0,Right,5
"RM, RW",Riyad Mahrez,86,32,179,Al Ahli Jeddah,Pro League,89,79.0,81.0,81.0,89.0,38.0,60.0,Left,15
"CF, LM, ST",Sadio Mané,86,31,174,Al Nassr,Pro League,87,85.0,83.0,79.0,87.0,44.0,74.0,Right,10
"LB, RB",João Pedro Cavaco Cancelo,86,29,182,FC Barcelona,La Liga,85,81.0,73.0,85.0,84.0,80.0,72.0,Right,6
"CF, CAM",Paulo Bruno Exequiel Dybala,86,29,177,Roma,Serie A,90,80.0,85.0,85.0,90.0,40.0,60.0,Left,5
"CDM, CM",N'Golo Kanté,86,32,168,Al Ittihad,Pro League,78,69.0,65.0,73.0,80.0,85.0,77.0,Right,15
LB,Andrew Robertson,86,29,178,Liverpool,Premier League,81,80.0,61.0,82.0,81.0,81.0,77.0,Left,11
CM,Sergej Milinković-Savić,86,28,192,Al Hilal,Pro League,85,68.0,80.0,82.0,82.0,79.0,86.0,Right,7
"RW, LW, ST",Rodrygo Silva de Goes,85,22,174,Real Madrid,La Liga,86,88.0,81.0,79.0,86.0,31.0,62.0,Right,9
"CAM, CM",Florian Richard Wirtz,85,20,177,Bayer 04 Leverkusen,Bundesliga,87,74.0,76.0,83.0,87.0,52.0,63.0,Right,14
"LB, LM",Theo Bernard François Hernández,85,25,184,Milan,Serie A,83,93.0,71.0,76.0,81.0,78.0,84.0,Left,12
CB,Alessandro Bastoni,85,24,190,Inter,Serie A,73,73.0,35.0,72.0,73.0,86.0,83.0,Left,11
"LW, RW",Philip Foden,85,23,171,Manchester City,Premier League,88,81.0,79.0,82.0,88.0,57.0,60.0,Left,8
"CB, RB",Jules Koundé,85,24,180,FC Barcelona,La Liga,72,84.0,45.0,68.0,75.0,86.0,80.0,Right,11
"LW, LM, ST",Marcus Rashford,85,25,186,Manchester United,Premier League,86,90.0,86.0,78.0,84.0,42.0,74.0,Right,11
"CF, LW",Diogo José Teixeira da Silva,85,26,178,Liverpool,Premier League,85,82.0,82.0,75.0,85.0,57.0,77.0,Right,7
"CDM, CM",Declan Rice,85,24,185,Arsenal,Premier League,80,71.0,65.0,75.0,77.0,83.0,83.0,Right,8
"CB, RB",John Stones,85,29,188,Manchester City,Premier League,75,72.0,52.0,75.0,77.0,85.0,77.0,Right,7
CB,Aymeric Laporte,85,29,191,Al Nassr,Pro League,64,61.0,50.0,73.0,69.0,86.0,78.0,Left,10
GK,André Onana,85,27,190,Manchester United,Premier League,26,,,,,,,Right,83
RB,Kieran Trippier,85,32,173,Newcastle United,Premier League,76,68.0,65.0,86.0,79.0,82.0,72.0,Right,11
GK,Kevin Trapp,85,32,189,Eintracht Frankfurt,Bundesliga,10,,,,,,,Right,83
ST,Ciro Immobile,85,33,185,Lazio,Serie A,77,85.0,87.0,68.0,78.0,39.0,74.0,Right,6
ST,Iago Aspas Juncal,85,35,176,Celta de Vigo,La Liga,87,81.0,85.0,79.0,86.0,35.0,64.0,Left,12
GK,Keylor Navas Gamboa,85,36,185,Paris Saint Germain,Ligue 1,24,,,,,,,Right,84
"CB, LB",David Olatukunbo Alaba,85,31,180,Real Madrid,La Liga,77,79.0,71.0,83.0,80.0,85.0,77.0,Left,5
CB,Raphaël Varane,85,30,191,Manchester United,Premier League,61,79.0,49.0,64.0,67.0,86.0,78.0,Right,11
GK,Damián Emiliano Martínez,85,30,195,Aston Villa,Premier League,17,,,,,,,Right,83
CB,Antonio Rüdiger,85,30,190,Real Madrid,La Liga,64,82.0,54.0,71.0,66.0,84.0,86.0,Right,14
"LW, LM",Jack Grealish,85,27,180,Manchester City,Premier League,89,76.0,76.0,84.0,88.0,53.0,73.0,Right,11
"CM, CDM",Hakan Çalhanoğlu,85,29,178,Inter,Serie A,85,67.0,80.0,86.0,85.0,70.0,66.0,Right,9
"CM, CDM",Leon Christoph Goretzka,85,28,189,FC Bayern München,Bundesliga,84,78.0,81.0,81.0,83.0,80.0,86.0,Right,13
GK,Yassine Bounou,85,32,195,Al Hilal,Pro League,20,,,,,,,Left,82
"CDM, CM",Thomas Partey,85,30,185,Arsenal,Premier League,84,68.0,71.0,82.0,80.0,81.0,82.0,Right,11
"RW, RM",Domenico Berardi,85,28,183,Sassuolo,Serie A,86,82.0,83.0,81.0,87.0,36.0,72.0,Left,5
"LM, RM",Kingsley Junior Coman,85,27,181,FC Bayern München,Bundesliga,88,89.0,76.0,79.0,87.0,30.0,62.0,Right,5
RB,Giovanni Di Lorenzo,85,29,183,Napoli,Serie A,78,85.0,67.0,75.0,79.0,82.0,82.0,Right,8
"LB, LM",Marcos Javier Acuña,85,31,172,Sevilla,La Liga,82,75.0,74.0,83.0,83.0,81.0,84.0,Left,8
"CDM, CM",Aurélien Tchouaméni,84,23,187,Real Madrid,La Liga,78,73.0,69.0,79.0,78.0,81.0,81.0,Right,9
"CDM, CM, CAM",Ismaël Bennacer,84,25,175,Milan,Serie A,86,80.0,72.0,81.0,86.0,79.0,78.0,Left,9
CB,Fikayo Tomori,84,25,185,Milan,Serie A,61,86.0,40.0,59.0,66.0,86.0,82.0,Right,10
"RM, LM",Moussa Diaby,84,23,171,Aston Villa,Premier League,87,95.0,73.0,75.0,86.0,42.0,59.0,Left,8
"LW, LM",Gabriel Teodoro Martinelli Silva,84,22,178,Arsenal,Premier League,89,89.0,78.0,76.0,86.0,46.0,72.0,Right,10
GK,Aaron Ramsdale,84,25,191,Arsenal,Premier League,18,,,,,,,Right,84
"ST, RM",Randal Kolo Muani,84,24,187,Paris Saint Germain,Ligue 1,88,91.0,78.0,73.0,86.0,38.0,67.0,Right,7
CB,Lisandro Martínez,84,25,178,Manchester United,Premier League,76,73.0,59.0,78.0,79.0,85.0,83.0,Left,6
CB,Gleison Bremer Silva Nascimento,84,26,188,Juventus,Serie A,62,80.0,50.0,56.0,65.0,85.0,83.0,Right,13
"CM, CDM",Bruno Guimarães Rodriguez Moura,84,25,182,Newcastle United,Premier League,85,71.0,74.0,81.0,84.0,80.0,81.0,Right,7
"CB, RB",Niklas Süle,84,27,195,Borussia Dortmund,Bundesliga,60,73.0,51.0,68.0,62.0,85.0,85.0,Right,15
"CDM, CM",Rúben Diogo da Silva Neves,84,26,183,Al Hilal,Pro League,74,60.0,75.0,86.0,77.0,76.0,73.0,Right,16
GK,Alejandro Remiro Gargallo,84,28,192,Real Sociedad,La Liga,19,,,,,,,Right,84
CB,Gabriel dos Santos Magalhães,84,25,190,Arsenal,Premier League,52,70.0,41.0,62.0,60.0,85.0,82.0,Left,12
"RB, RWB",Achraf Hakimi Mouh,84,24,181,Paris Saint Germain,Ligue 1,79,92.0,75.0,80.0,80.0,75.0,78.0,Right,10
CB,김민재 金敏在,84,26,190,FC Bayern München,Bundesliga,57,80.0,33.0,58.0,64.0,85.0,84.0,Right,13
"RB, RWB",Reece James,84,23,178,Chelsea,Premier League,83,80.0,72.0,83.0,82.0,82.0,81.0,Right,8
"CAM, RM, CM",Julian Brandt,84,27,185,Borussia Dortmund,Bundesliga,86,71.0,80.0,84.0,86.0,51.0,70.0,Right,11
"CDM, CM",Pierre-Emile Kordt Højbjerg,84,27,187,Tottenham Hotspur,Premier League,79,55.0,73.0,78.0,78.0,81.0,82.0,Right,9
"CAM, RM, CM",James Maddison,84,26,175,Tottenham Hotspur,Premier League,86,71.0,81.0,86.0,86.0,54.0,63.0,Right,11
"CB, LB",Lucas François Bernard Hernández Pi,84,27,184,Paris Saint Germain,Ligue 1,65,76.0,54.0,70.0,70.0,84.0,78.0,Left,10
"CM, CAM, LM",Mikel Merino Zazón,84,27,189,Real Sociedad,La Liga,83,72.0,78.0,82.0,82.0,83.0,82.0,Left,9
"ST, RW",Gabriel Fernando de Jesus,84,26,175,Arsenal,Premier League,88,83.0,82.0,75.0,88.0,40.0,77.0,Right,13
RW,Raphael Dias Belloli,84,26,176,FC Barcelona,La Liga,87,91.0,79.0,78.0,86.0,53.0,73.0,Left,8
"LM, LW, RW",Federico Chiesa,84,25,175,Juventus,Serie A,89,91.0,82.0,76.0,86.0,53.0,75.0,Right,6
"LW, LM",Luis Fernando Díaz Marulanda,84,26,180,Liverpool,Premier League,89,91.0,81.0,75.0,87.0,34.0,74.0,Right,10
CB,Thiago Emiliano da Silva,84,38,183,Chelsea,Premier League,67,51.0,54.0,74.0,72.0,87.0,74.0,Right,9
GK,Yann Sommer,84,34,183,Inter,Serie A,15,,,,,,,Right,78
GK,Péter Gulácsi,84,33,191,RB Leipzig,Bundesliga,19,,,,,,,Right,85
RB,Kyle Walker,84,33,183,Manchester City,Premier League,79,90.0,63.0,77.0,78.0,79.0,81.0,Right,12
CM,Thiago Alcântara do Nascimento,84,32,174,Liverpool,Premier League,89,61.0,72.0,86.0,89.0,71.0,67.0,Right,6
"CAM, CF, ST",Thomas Müller,84,33,185,FC Bayern München,Bundesliga,77,59.0,82.0,83.0,79.0,55.0,69.0,Right,6
CB,Chris Smalling,84,33,194,Roma,Serie A,59,62.0,47.0,58.0,62.0,87.0,82.0,Right,10
ST,Romelu Lukaku Menama,84,30,191,Roma,Serie A,82,80.0,84.0,74.0,77.0,38.0,82.0,Left,8
GK,Koen Casteels,84,31,197,VfL Wolfsburg,Bundesliga,14,,,,,,,Left,84
"CDM, CM",Jorge Resurrección Merodio,84,31,176,Atlético Madrid,La Liga,77,69.0,72.0,85.0,79.0,79.0,78.0,Right,14
CM,Luis Alberto Romero Alconchel,84,30,183,Lazio,Serie A,83,69.0,77.0,85.0,84.0,62.0,58.0,Right,6
CB,Kalidou Koulibaly,84,32,186,Al Hilal,Pro League,70,76.0,48.0,63.0,68.0,84.0,83.0,Right,7
"CF, LW, ST",Memphis Depay,84,29,176,Atlético Madrid,La Liga,86,82.0,82.0,81.0,85.0,30.0,80.0,Right,8
GK,Nick Pope,84,31,199,Newcastle United,Premier League,15,,,,,,,Right,82
"RM, ST, LM",Serge David Gnabry,84,27,176,FC Bayern München,Bundesliga,85,81.0,84.0,78.0,84.0,43.0,68.0,Right,14
CB,Matthias Ginter,84,29,189,SC Freiburg,Bundesliga,61,60.0,59.0,71.0,66.0,85.0,80.0,Right,12
"LW, LWB",Yannick Ferreira Carrasco,84,29,181,Al Shabab,Pro League,88,88.0,81.0,80.0,85.0,59.0,66.0,Right,9
CDM,Fábio Henrique Tavares,84,29,188,Al Ittihad,Pro League,78,59.0,69.0,78.0,77.0,82.0,82.0,Right,13
"CM, LM",Adrien Rabiot,84,28,191,Juventus,Serie A,80,78.0,76.0,80.0,80.0,82.0,84.0,Left,9
"LWB, LM",Alejandro Grimaldo García,84,27,171,Bayer 04 Leverkusen,Bundesliga,84,87.0,69.0,83.0,84.0,76.0,72.0,Left,7
CM,Rodrigo Javier De Paul,84,29,180,Atlético Madrid,La Liga,82,78.0,77.0,83.0,82.0,75.0,83.0,Right,13
"CM, CDM",Stanislav Lobotka,84,28,170,Napoli,Serie A,82,71.0,70.0,81.0,83.0,77.0,75.0,Right,10
"RM, LM",Leroy Aziz Sané,84,27,183,FC Bayern München,Bundesliga,86,91.0,81.0,80.0,85.0,38.0,68.0,Left,8
"RM, CM, RB",Marcos Llorente Moreno,84,28,184,Atlético Madrid,La Liga,80,89.0,78.0,79.0,80.0,78.0,81.0,Right,13
CB,Milan Škriniar,84,28,187,Paris Saint Germain,Ligue 1,64,78.0,41.0,57.0,67.0,86.0,83.0,Right,10
"CM, LW",Pablo Martín Páez Gavira,83,18,173,FC Barcelona,La Liga,86,76.0,66.0,78.0,85.0,68.0,70.0,Right,8
CB,William Alain André Gabriel Saliba,83,22,193,Arsenal,Premier League,72,82.0,39.0,69.0,73.0,84.0,82.0,Right,7
"CM, CDM",Enzo Jeremías Fernández,83,22,178,Chelsea,Premier League,78,73.0,73.0,81.0,80.0,75.0,79.0,Right,8
"LB, LM",Alphonso Boyle Davies,83,22,185,FC Bayern München,Bundesliga,85,95.0,66.0,78.0,84.0,74.0,77.0,Left,11
"CF, LW",Cody Mathès Gakpo,83,24,189,Liverpool,Premier League,86,85.0,82.0,78.0,84.0,42.0,73.0,Right,15
ST,Dušan Vlahović,83,23,190,Juventus,Serie A,81,80.0,85.0,66.0,79.0,29.0,82.0,Left,5
CB,Nico Schlotterbeck,83,23,191,Borussia Dortmund,Bundesliga,73,78.0,58.0,67.0,73.0,85.0,82.0,Left,8
"RWB, RM",Jeremie Agyekum Frimpong,83,22,171,Bayer 04 Leverkusen,Bundesliga,85,94.0,56.0,75.0,84.0,74.0,70.0,Right,12
"CAM, CF",Daniel Olmo Carvajal,83,25,179,RB Leipzig,Bundesliga,87,68.0,76.0,82.0,86.0,50.0,59.0,Right,15
CB,Sven Botman,83,23,193,Newcastle United,Premier League,63,65.0,37.0,63.0,66.0,84.0,84.0,Left,12
GK,Unai Simón Mendibil,83,26,190,Athletic Club,La Liga,12,,,,,,,Right,84
CB,Pau Francisco Torres,83,26,191,Aston Villa,Premier League,64,72.0,38.0,68.0,70.0,84.0,81.0,Left,11
CB,Andreas Bødtker Christensen,83,27,187,FC Barcelona,La Liga,67,67.0,32.0,68.0,71.0,85.0,76.0,Right,10
CB,José María Giménez de Vargas,83,28,185,Atlético Madrid,La Liga,55,71.0,46.0,58.0,61.0,85.0,82.0,Right,9
GK,Alex Meret,83,26,190,Napoli,Serie A,16,,,,,,,Left,83
CB,Gianluca Mancini,83,27,190,Roma,Serie A,55,67.0,45.0,54.0,62.0,83.0,86.0,Right,13
"CDM, CM",Konrad Laimer,83,26,180,FC Bayern München,Bundesliga,77,80.0,69.0,77.0,78.0,81.0,79.0,Right,9
CDM,Guido Rodríguez,83,28,185,Real Betis,La Liga,72,51.0,58.0,72.0,70.0,85.0,80.0,Right,12
"CB, RB",Benjamin Pavard,83,27,186,Inter,Serie A,68,70.0,62.0,73.0,72.0,85.0,78.0,Right,9
"CDM, CM",André-Franck Zambo Anguissa,83,27,184,Napoli,Serie A,82,78.0,68.0,72.0,81.0,81.0,86.0,Right,11
"CAM, CM, CF",Lorenzo Pellegrini,83,27,186,Roma,Serie A,80,79.0,76.0,83.0,83.0,74.0,78.0,Right,12
"CDM, CM",João Maria Lobo Alves Palhinha Gonçalves,83,27,190,Fulham,Premier League,77,62.0,67.0,71.0,76.0,84.0,89.0,Right,14
"LM, RM, LW",Mikel Oyarzabal Ugarte,83,26,181,Real Sociedad,La Liga,84,77.0,83.0,80.0,83.0,41.0,62.0,Left,10
ST,Patrik Schick,83,27,191,Bayer 04 Leverkusen,Bundesliga,81,79.0,80.0,71.0,81.0,37.0,76.0,Left,11
CB,Sergio Ramos García,83,37,184,Sevilla,La Liga,63,57.0,69.0,73.0,70.0,83.0,76.0,Right,11
GK,Hugo Lloris,83,36,188,Tottenham Hotspur,Premier League,12,,,,,,,Left,85
CB,Mats Hummels,83,34,191,Borussia Dortmund,Bundesliga,67,53.0,58.0,76.0,70.0,86.0,78.0,Right,15
ST,Edin Džeko,83,37,193,Fenerbahçe,Super Lig,77,59.0,84.0,72.0,77.0,45.0,76.0,Right,9
"CF, RW, RM",Ángel Fabián Di María Hernández,83,35,180,Benfica,Liga Portugal,90,78.0,78.0,86.0,89.0,48.0,67.0,Left,10
"CAM, CF",Marco Reus,83,34,180,Borussia Dortmund,Bundesliga,85,65.0,83.0,83.0,85.0,53.0,63.0,Right,12
LB,Jordi Alba Ramos,83,34,170,Inter Miami,Major League Soccer,79,84.0,70.0,82.0,81.0,76.0,70.0,Left,13
CDM,Sergio Busquets i Burgos,83,34,189,Inter Miami,Major League Soccer,80,37.0,62.0,79.0,79.0,81.0,73.0,Right,5
"CM, CDM",Christian Dannemann Eriksen,83,31,181,Manchester United,Premier League,77,59.0,77.0,89.0,81.0,51.0,53.0,Right,9
ST,Alexandre Lacazette,83,32,175,Olympique Lyonnais,Ligue 1,83,72.0,84.0,77.0,83.0,44.0,77.0,Right,11
ST,Wissam Ben Yedder,83,32,170,Monaco,Ligue 1,86,80.0,84.0,78.0,87.0,39.0,68.0,Right,6
CB,Francesco Acerbi,83,35,192,Inter,Serie A,65,60.0,50.0,64.0,64.0,86.0,80.0,Left,11
"CB, LB, RB",José Ignacio Fernández Iglesias,83,33,180,Real Madrid,La Liga,64,75.0,37.0,69.0,71.0,82.0,80.0,Right,12
ST,Álvaro Borja Morata Martín,83,30,190,Atlético Madrid,La Liga,79,82.0,82.0,72.0,79.0,31.0,79.0,Right,4
"CM, CDM, CAM",Sergi Darder Moll,83,29,180,Mallorca,La Liga,84,81.0,76.0,82.0,83.0,74.0,77.0,Right,8
"LW, RW, ST",Raheem Sterling,83,28,170,Chelsea,Premier League,86,85.0,78.0,76.0,85.0,45.0,67.0,Right,15
CB,Vilmos Tamás Orban,83,30,186,RB Leipzig,Bundesliga,52,58.0,36.0,56.0,56.0,85.0,81.0,Right,15
"CDM, CM",Luiz Frello Filho Jorge,83,31,178,Arsenal,Premier League,79,53.0,67.0,84.0,81.0,74.0,73.0,Right,14
ST,Sébastien Haller,83,29,191,Borussia Dortmund,Bundesliga,74,62.0,81.0,63.0,76.0,52.0,81.0,Right,6
"LB, CB",Luke Shaw,83,27,181,Manchester United,Premier League,78,76.0,57.0,82.0,79.0,81.0,78.0,Left,10
"ST, RM",Gerard Moreno Balagueró,83,31,180,Villarreal,La Liga,83,77.0,85.0,77.0,81.0,46.0,72.0,Left,15
"CDM, CB",Emre Can,83,29,186,Borussia Dortmund,Bundesliga,81,79.0,78.0,77.0,79.0,82.0,87.0,Right,14
"LM, LW",Filip Kostić,83,30,184,Juventus,Serie A,84,85.0,76.0,82.0,82.0,70.0,80.0,Left,13
"CAM, RM, LM",Jonas Hofmann,83,30,176,Bayer 04 Leverkusen,Bundesliga,82,76.0,79.0,83.0,81.0,64.0,73.0,Right,6
"CM, CAM",Piotr Sebastian Zieliński,83,29,180,Napoli,Serie A,87,81.0,77.0,81.0,86.0,71.0,63.0,Right,12
CB,Alessio Romagnoli,83,28,185,Lazio,Serie A,68,69.0,40.0,56.0,69.0,85.0,80.0,Left,9
"CDM, CM",Marcelo Brozović,83,30,181,Al Nassr,Pro League,78,66.0,74.0,81.0,80.0,80.0,78.0,Right,8
"CF, RM",Rafael Alexandre Fernandes Ferreira da Silva,83,30,172,Benfica,Liga Portugal,86,93.0,77.0,77.0,86.0,50.0,54.0,Right,9
CAM,Nabil Fekir,83,29,173,Real Betis,La Liga,87,82.0,81.0,81.0,86.0,39.0,80.0,Left,15
RW,Marco Asensio Willemsen,83,27,182,Paris Saint Germain,Ligue 1,83,81.0,81.0,81.0,83.0,43.0,63.0,Left,13
ST,Borja Iglesias Quintás,83,30,187,Real Betis,La Liga,76,69.0,84.0,66.0,76.0,40.0,82.0,Right,14
"CAM, RM",Ronaldo Jailson Cabrais Petri,83,31,177,Palmeiras,Serie A,85,88.0,77.0,83.0,84.0,35.0,72.0,Right,12
"CDM, CM, LB",Eduardo Celmi Camavinga,82,20,182,Real Madrid,La Liga,80,79.0,66.0,80.0,82.0,76.0,80.0,Left,12
GK,Diogo Meireles Costa,82,23,192,Porto,Liga Portugal,18,,,,,,,Right,80
"LW, RW, ST",Ferran Torres García,82,23,184,FC Barcelona,La Liga,84,83.0,79.0,78.0,83.0,35.0,68.0,Right,12
"CB, LB",Joško Gvardiol,82,21,185,Manchester City,Premier League,75,78.0,54.0,69.0,74.0,82.0,83.0,Left,5
"ST, LW",Darwin Gabriel Núñez Ribeiro,82,24,187,Liverpool,Premier League,76,90.0,81.0,71.0,76.0,43.0,85.0,Right,14
CB,Robin Le Normand,82,26,187,Real Sociedad,La Liga,52,62.0,26.0,54.0,59.0,84.0,79.0,Right,9
"CAM, RW, ST",Kai Lukas Havertz,82,24,190,Arsenal,Premier League,84,78.0,79.0,79.0,83.0,45.0,68.0,Left,6
"LB, LWB",Nuno Alexandre Tavares Mendes,82,21,176,Paris Saint Germain,Ligue 1,78,89.0,58.0,75.0,80.0,77.0,76.0,Left,7
"CDM, CM",Manuel Locatelli,82,25,185,Juventus,Serie A,79,67.0,70.0,80.0,78.0,79.0,80.0,Right,11
CB,Dayotchanculle Oswald Upamecano,82,24,186,FC Bayern München,Bundesliga,71,83.0,45.0,63.0,72.0,81.0,83.0,Right,6
CB,Cristian Gabriel Romero,82,25,185,Tottenham Hotspur,Premier League,60,70.0,46.0,59.0,66.0,84.0,80.0,Right,5
"LW, LM",Jadon Sancho,82,23,180,Manchester United,Premier League,89,78.0,70.0,80.0,87.0,33.0,47.0,Right,7
"RB, RWB, RM",Nahuel Molina Lucero,82,25,175,Atlético Madrid,La Liga,77,85.0,67.0,76.0,79.0,78.0,71.0,Right,12
